page number, number of genre, number of species, number of binoms
100, 0, 0, 0
640, 0, 0, 0
128, 0, 0, 0
520, 0, 0, 0
409, 0, 0, 0
448, 0, 0, 0
567, 0, 0, 1
212, 0, 0, 0
637, 0, 0, 0
309, 1, 0, 0
589, 0, 0, 0
026, 0, 0, 0
624, 2, 0, 0
202, 0, 0, 0
247, 0, 0, 0
447, 1, 1, 1
395, 0, 0, 0
367, 0, 0, 0
651, 0, 0, 3
273, 0, 0, 0
457, 0, 0, 0
425, 2, 0, 0
066, 0, 1, 5
471, 1, 0, 0
352, 0, 0, 0
164, 0, 1, 0
131, 0, 0, 0
621, 1, 0, 0
067, 0, 0, 0
588, 0, 0, 0
240, 0, 1, 0
224, 0, 0, 0
368, 0, 0, 0
511, 0, 0, 1
017, 2, 1, 0
150, 0, 0, 1
133, 0, 0, 0
087, 0, 0, 0
515, 0, 0, 1
119, 0, 0, 0
449, 1, 1, 0
290, 0, 0, 0
057, 0, 1, 8
020, 0, 0, 0
082, 0, 0, 0
289, 0, 3, 8
096, 0, 0, 0
658, 0, 0, 0
014, 0, 0, 0
420, 1, 1, 0
452, 1, 0, 0
268, 0, 0, 0
214, 0, 0, 1
482, 0, 0, 0
257, 0, 0, 0
040, 0, 0, 0
269, 0, 0, 0
504, 0, 0, 2
135, 0, 0, 0
581, 0, 0, 1
350, 0, 0, 0
064, 0, 0, 0
480, 0, 0, 1
612, 1, 1, 0
028, 0, 0, 0
558, 0, 0, 0
107, 0, 0, 3
328, 0, 0, 0
320, 0, 0, 0
543, 0, 0, 0
508, 1, 0, 0
199, 0, 0, 0
034, 0, 0, 0
481, 0, 0, 0
648, 0, 0, 1
102, 0, 0, 0
115, 0, 0, 0
450, 1, 0, 0
579, 0, 0, 1
370, 0, 0, 0
571, 0, 0, 3
169, 0, 0, 0
267, 0, 0, 0
221, 0, 0, 0
333, 0, 0, 0
163, 0, 3, 0
065, 2, 0, 2
085, 0, 0, 0
360, 0, 0, 0
280, 0, 0, 0
473, 1, 0, 0
483, 0, 1, 0
030, 0, 0, 0
406, 0, 0, 0
351, 0, 0, 0
597, 0, 0, 0
004, 0, 0, 0
421, 0, 0, 0
359, 1, 1, 0
060, 0, 0, 0
632, 0, 0, 0
605, 0, 0, 0
545, 1, 0, 0
464, 0, 0, 1
402, 0, 0, 0
474, 0, 1, 0
049, 0, 0, 0
554, 0, 0, 0
540, 0, 0, 0
038, 0, 0, 0
168, 0, 0, 0
272, 0, 0, 0
335, 0, 0, 0
033, 0, 0, 8
509, 0, 0, 0
453, 2, 3, 3
575, 0, 0, 0
650, 0, 0, 0
105, 0, 0, 1
198, 0, 0, 0
357, 0, 0, 0
024, 0, 0, 0
413, 0, 0, 0
121, 0, 0, 0
486, 1, 0, 0
148, 0, 0, 0
349, 0, 0, 0
524, 0, 2, 6
323, 1, 0, 0
190, 0, 2, 0
514, 0, 0, 0
446, 0, 0, 0
098, 0, 1, 0
021, 0, 0, 1
537, 0, 0, 0
633, 0, 0, 1
587, 0, 0, 0
397, 0, 0, 0
578, 0, 0, 1
286, 0, 0, 0
248, 0, 0, 0
081, 0, 0, 0
022, 0, 0, 0
010, 0, 0, 0
431, 0, 0, 0
434, 0, 0, 0
620, 0, 0, 0
243, 0, 0, 0
563, 1, 0, 0
058, 0, 0, 6
167, 0, 0, 1
510, 0, 0, 0
274, 0, 0, 0
436, 0, 2, 1
113, 0, 0, 0
388, 0, 0, 0
500, 0, 0, 1
201, 1, 0, 0
217, 0, 0, 0
638, 0, 0, 1
623, 0, 1, 0
525, 1, 1, 0
484, 1, 1, 0
653, 1, 1, 0
153, 1, 0, 0
170, 0, 0, 0
470, 0, 0, 0
607, 1, 0, 0
609, 0, 0, 0
050, 0, 0, 0
013, 0, 0, 0
518, 0, 0, 0
275, 0, 0, 0
254, 0, 0, 0
158, 3, 0, 0
600, 0, 0, 0
296, 0, 0, 0
568, 0, 0, 0
027, 0, 0, 0
570, 0, 0, 0
656, 0, 0, 0
531, 2, 0, 0
141, 1, 0, 0
077, 2, 0, 0
182, 0, 0, 0
084, 0, 0, 1
311, 1, 0, 0
173, 0, 0, 0
095, 0, 0, 0
429, 0, 0, 0
608, 0, 0, 0
076, 0, 0, 0
456, 0, 0, 0
339, 0, 0, 0
178, 0, 0, 0
491, 0, 1, 0
557, 0, 0, 2
496, 0, 0, 1
079, 0, 0, 0
418, 0, 0, 1
